name,instance_cost,api_calls
psf__requests-5414,0.1151061,9
astropy__astropy-14369,3.0250522499999986,117
matplotlib__matplotlib-21568,1.0238604,54
django__django-15503,1.0168210500000003,42
django__django-11119,0.0348432,6
django__django-16429,0.049631850000000005,7
scikit-learn__scikit-learn-11578,0.08806409999999999,10
django__django-11276,0.15159884999999998,13
django__django-15252,0.21051149999999996,28
django__django-14631,0.55877955,33
scikit-learn__scikit-learn-13135,0.05553105,7
django__django-11749,0.17570055,20
scikit-learn__scikit-learn-11310,0.13365915000000003,17
mwaskom__seaborn-3069,0.43472114999999995,41
django__django-16938,1.0168491,62
django__django-13590,0.11158875,15
pydata__xarray-7233,0.08745974999999999,11
django__django-11815,0.20890469999999997,17
django__django-17084,0.8711630999999997,40
scikit-learn__scikit-learn-15100,0.039965850000000004,7
django__django-16082,0.12490725,19
django__django-15127,0.11856120000000002,15
astropy__astropy-13033,0.2762799,25
django__django-11163,0.027023699999999998,5
psf__requests-1142,0.09882465,13
pytest-dev__pytest-7521,0.13771095,15
django__django-13741,0.0735024,15
django__django-15629,0.8926956,48
django__django-16256,0.1770054,11
pydata__xarray-3677,0.08959334999999999,11
sphinx-doc__sphinx-8459,0.29497035,28
scikit-learn__scikit-learn-13779,0.1007721,12
django__django-15467,0.029050649999999997,6
matplotlib__matplotlib-24177,0.35496015000000003,26
django__django-13925,0.7425957000000002,48
scikit-learn__scikit-learn-12973,0.09170205000000002,8
django__django-14170,0.62768355,50
django__django-11133,0.13021560000000001,13
django__django-16595,0.13220355,18
matplotlib__matplotlib-23476,1.0069938000000005,43
django__django-11066,0.02883735,4
django__django-16502,0.18396074999999998,17
django__django-16612,0.026025,3
sphinx-doc__sphinx-9658,0.11514150000000002,12
sympy__sympy-12489,0.09199530000000002,12
sympy__sympy-13031,0.13728825,18
sympy__sympy-13877,0.028149600000000004,5
sympy__sympy-18199,0.04721385000000001,7
sympy__sympy-22456,0.028894200000000002,6
sympy__sympy-23413,1.0186861499999995,53
